id,keywords,date,nbComments,nbView,nbStars,nbVotes,source
28009,Humour;Zéon,2014-09-21 00:00:00,26,42659,5,200,undefined
28067,Christianisme;Éducation;France;Religion;Social;Société;Tradition,2014-09-28 00:00:00,16,12316,5,52,undefined
27567,Allemagne;Économie;Histoire;Seconde Guerre mondiale,2014-09-03 00:00:00,101,72436,5,341,ihr.org
28311,Félix Niesche;France;Front national;Géopolitique;Humour;Marine Le Pen,2014-10-05 00:00:00,46,26787,5,180,undefined
29275,Humour;Zéon,2014-11-23 00:00:00,35,43705,5,190,undefined
27437,BHL;Féminisme;François Hollande;Humour;International;Israël;Mélenchon;Médias;Palestine;Sionisme;Société;Zéon,2014-08-24 00:00:00,38,40112,5,188,undefined
28066,Christianisme;Éducation;France;Mai 68;Philosophie;Religion;Social;Société;Théorie du genre;Tradition,2014-09-24 00:00:00,23,15846,5,75,undefined
28132,Rédaction E&R;Communautés;Délinquance ;France;Israël;Judaïsme;Palestine;Sionisme,2014-09-26 00:00:00,30,43888,4,126,undefined
28154,Humour;Zéon,2014-09-28 00:00:00,26,42648,5,230,undefined
27570,Humour;Zéon,2014-08-31 00:00:00,50,77168,5,293,undefined
27723,Rédaction E&R;Désinformation;Éducation;France;Géopolitique;Humour;Israël;Médias;Politique;Théorie du genre,2014-09-08 00:00:00,62,32803,5,137,undefined
28895,Humour;Zéon,2014-11-02 00:00:00,20,41361,5,228,undefined
28324,Géopolitique;Humour;Politique;Société,2014-10-05 00:00:00,31,47272,5,227,undefined
27830,Humour;Zéon,2014-09-14 00:00:00,28,39877,5,197,undefined
29025,Humour;Zéon,2014-11-09 00:00:00,34,46191,5,207,undefined
28463,Humour;Zéon,2014-10-12 00:00:00,78,47433,5,213,undefined
27584,France;Israël;Palestine;Politique;Sionisme;Ukraine,2014-09-01 00:00:00,46,86361,5,547,undefined
29158,Humour;Zéon,2014-11-16 00:00:00,29,43264,5,192,undefined
28601,Humour;Zéon,2014-10-19 00:00:00,42,46209,5,229,undefined
29415,Humour;Zéon,2014-11-30 00:00:00,31,37482,5,195,undefined
28919,Rédaction E&R;Antiracisme;Communautés;Éric Zemmour;France;Immigration;Islam;Judaïsme;Médias;Politique,2014-11-03 00:00:00,236,87379,5,269,undefined
27349,Robert Faurisson,2014-08-19 00:00:00,120,81332,2,428,undefined
27300,Rédaction E&R;Dieudonné;Internet;Israël;Judaïsme;Justice & Droit;Médias;Politique;Presse;Sionisme,2014-08-16 00:00:00,80,75164,3,153,undefined
27322,Rédaction E&R;États-Unis;France;François Hollande;Insolite;Israël;Judaïsme;LRPS;Médias;Palestine;Sionisme,2014-08-18 00:00:00,30,43570,5,177,undefined
26518,Rédaction E&R;États-Unis;Ex-Urss;Géorgie;International;Russie,2014-07-07 00:00:00,16,26867,5,115,undefined
25540,Laurent Guyénot;911;États-Unis;Histoire;Politique,2014-05-24 00:00:00,50,38557,5,254,Kontre Kulture
26933,Rédaction E&R;France;Histoire;LRPS;Manuel Valls;Médias;Politique,2014-07-27 00:00:00,22,26643,2,100,undefined
26691,Rédaction E&R;France;Philosophie;Science;Sociologie,2014-07-16 00:00:00,46,21435,5,114,undefined
27262,Rédaction E&R;Éducation,2014-08-14 00:00:00,79,39610,5,178,undefined
26440,Rédaction E&R;Communautés;Dieudonné;Médias,2014-07-03 00:00:00,93,65759,4,219,undefined
26845,Félix Niesche;France;International;Israël;Opinions;Palestine;Politique,2014-07-23 00:00:00,91,29243,5,307,undefined
